Rep  Software  SalesLastQuarter  SalesThisQuarter
 1      1             82               90
 2      1             80               83
 3      1             78               75
 4      1             70               62
 5      1             92              114
 6      1             80               88
 7      1             69               66
 8      1             74               66
 9      1             84               89
10      1             81               90
11      1             72               68
12      1             81               88
13      2             73               70
14      2             72               72
15      2             74               82
16      2             73               75
17      2             74               82
18      2             89               91
19      2             73               90
20      2             85               73
21      2             78               82
22      2             80               77
23      2             76               80
24      2             74               81
25      3             75               83
26      3             72               82
27      3             66               56
28      3             82               87
29      3             74               75
30      3             76               78
31      3             71               59
32      3             63               58
33      3             73               69
34      3             82               86
35      3             81               81
36      3             77               73
